wave,0_1_cont_active,0_2_cont_synth,0_3_cont_tr_normed,0_4_cont_np_normed,0_5_cont_en_normed,1_0_res_en_normed_tr_normed,1_1_res_np_normed_tr_normed,1_2_res_nns_tr_normed,1_3_res_nna_tr_normed,1_4_err_lower,1_5_err_upper
3900.0,326.01708549206256,321.85023989888583,310.1211281546386,361.9585551408954,288.2862346525784,0.07574032637518753,0.07574032637518753,-0.0364425879871822,-0.04875783472873868,-0.024427089947471458,0.024427089947471458
3900.300000000002,326.4533875673861,322.19428728476487,310.0764006425987,361.8985613514039,288.21516558489776,0.07585039813340898,0.07585039813340898,-0.03760908829661006,-0.05016464818816879,-0.024729270105338864,0.024729270105338864
3900.600000000004,326.8897852009239,322.5380872958049,310.18829376293843,362.02375763240906,288.2903916807494,0.07595779364869927,0.07595779364869927,-0.03828970685022475,-0.05109248287778146,-0.02505013206204588,0.02505013206204588
3900.900000000006,327.32625662348505,322.8816086289967,310.17753007302565,362.005312344244,288.25261909604905,0.07606144584473311,0.07606144584473311,-0.03934609027028351,-0.052390510408573114,-0.026263698118541446,0.026263698118541446
3901.200000000008,327.7627800857832,323.2248199089891,310.2067651617869,362.0338125863705,288.25252322190374,0.07616322554436855,0.07616322554436855,-0.04027553223788455,-0.05356316243357903,-0.02470073407954864,0.02470073407954864
3901.50000000001,328.19933383021106,323.56768962011756,310.21893670799767,362.0484057281525,288.2419833523338,0.07624480341158436,0.07624480341158436,-0.041254820674520395,-0.05478489038782067,-0.025900171555194376,0.025900171555194376
3901.800000000012,328.63589607321177,323.91018661033945,310.2146067441871,362.05034744548203,288.22246673813686,0.07630265695432795,0.07630265695432795,-0.04228225782602773,-0.05605407898958364,-0.025527456772077618,0.025527456772077618
3902.100000000014,329.07244506172066,324.252279546976,310.21827222552776,362.06942366651845,288.2166699827343,0.07633702188048838,0.07633702188048838,-0.04328124599885826,-0.05729503509314522,-0.02526587441104097,0.02526587441104097
3902.400000000016,329.5089590206141,324.5939369164498,310.20514516289586,362.0755740798464,288.20181111694177,0.0763469665949669,0.0763469665949669,-0.04432836685801881,-0.05858330044415985,-0.02515415764872133,0.02515415764872133
3902.700000000018,329.94541617643296,324.935127382286,310.15306076035165,362.04571044442207,288.1571880571129,0.07633289612362262,0.07633289612362262,-0.04549110458517144,-0.05998519481985486,-0.025134806743300063,0.025134806743300063
3903.00000000002,330.3817947873095,325.2758197514785,310.1640173122581,362.0926602434879,288.1770090002936,0.07629688568230704,0.07629688568230704,-0.046458201447171325,-0.06119491378534682,-0.024528146856380176,0.024528146856380176
3903.300000000022,330.81807310017894,325.6159826913484,310.1718731250411,362.1442339735237,288.20005531161866,0.07623807632397991,0.07623807632397991,-0.047430462147361845,-0.062409555158009264,-0.024607212224925824,0.024607212224925824
3903.600000000024,331.2542292683403,325.95558448420906,310.20508590417745,362.23318813862676,288.2531466504663,0.07615507240352844,0.07615507240352844,-0.0483200754221285,-0.06354262636485176,-0.025103935182601147,0.025103935182601147
3903.900000000026,331.6902415939657,326.2945941045437,310.07119321873074,362.1332507210168,288.156697239462,0.0760506217249481,0.0760506217249481,-0.049720396312068406,-0.06517879242246295,-0.024788556894748508,0.024788556894748508
3904.200000000028,332.1260883311309,326.63298025249554,310.0352670576657,362.1546029944819,288.15736450436174,0.0759234545017946,0.0759234545017946,-0.050814731797212784,-0.06651356390289996,-0.024955397504554694,0.024955397504554694
3904.50000000003,332.5617476841273,326.970711455483,309.99994362350833,362.18316848022954,288.164182506528,0.07577541708010736,0.07577541708010736,-0.051902837841282405,-0.06784222185024509,-0.02442176147131688,0.02442176147131688
3904.800000000032,332.9971978168788,327.3077561455432,309.9401485047154,362.1894409300811,288.15450815840137,0.07560402398541784,0.07560402398541784,-0.053061989865215084,-0.069240944827859,-0.02478478328266369,0.02478478328266369
3905.100000000034,333.4324170707209,327.64408332016296,309.8556166687761,362.1736226038634,288.12776654806953,0.07541046939355502,0.07541046939355502,-0.05429129411919271,-0.07070844609183823,-0.024536314192430398,0.024536314192430398
3905.400000000036,333.8673836925894,327.9796616466642,309.87486359041293,362.2844620920065,288.20209637824155,0.07519989439538179,0.07519989439538179,-0.055201358902463596,-0.07186290275329925,-0.024925627716773424,0.024925627716773424
3905.700000000038,334.3020757912423,328.314459413851,309.74572360373645,362.2289972231534,288.1445111620325,0.07496659351444984,0.07496659351444984,-0.056557766893998045,-0.07345556580947867,-0.024686324888150115,0.024686324888150115
3906.00000000004,334.73647165414053,328.64844543372345,309.71273059969127,362.29233251859193,288.18278345918304,0.07470934551354835,0.07470934551354835,-0.05761637274161775,-0.07475584098304199,-0.024953863226619563,0.024953863226619563
3906.300000000042,335.1705495946143,328.9815885624187,309.5275596785468,362.1827371057212,288.08457219459154,0.07443296015682248,0.07443296015682248,-0.05913498969919735,-0.07650841101390482,-0.025135891533473217,0.025135891533473217
3906.600000000044,335.6042878522473,329.3138574488395,309.48258476896183,362.24445725957764,288.12118123027835,0.07414034416862444,0.07414034416862444,-0.06021999632130341,-0.07783485638792567,-0.024756492365031236,0.024756492365031236
3906.900000000046,336.0376644165815,329.6452201325501,309.4131537253063,362.2815247412919,288.140747567804,0.07382644189363242,0.07382644189363242,-0.06137533066229565,-0.07923080220060746,-0.025389370781297778,0.025389370781297778
3907.200000000048,336.47065776803964,329.9756458820241,309.3164147480209,362.29320352878733,288.1397879961812,0.07349428171343146,0.07349428171343146,-0.06260799758097468,-0.08070270677476904,-0.025576642212286026,0.025576642212286026
3907.50000000005,336.9032461535591,330.30510336458457,309.20557575065743,362.2940659793222,288.1311492270837,0.07314178484383309,0.07314178484383309,-0.06387863903647455,-0.08221220299699111,-0.024853593084021793,0.024853593084021793
3907.800000000052,337.33540769323525,330.6335609560155,309.1647066804514,362.3829623860348,288.1933766733838,0.07276825806734231,0.07276825806734231,-0.06493287901261639,-0.08350998522985584,-0.024940913658156875,0.024940913658156875
3908.100000000054,337.7671205480583,330.9609871448539,308.97504537013475,362.3019769282263,288.1209111140523,0.07237980115864391,0.07237980115864391,-0.06643022098712442,-0.08524188676054521,-0.0254625256841894,0.0254625256841894
